,City,Max Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
447,Pocrí,89.6,55,20,14.97,8.2667,-80.55
448,Nadym,3.13,94,100,18.19,65.5333,72.5167
449,Ostrovnoy,6.3,94,85,11.21,68.0531,39.5131
450,Savannah Bight,84.2,79,20,11.9,16.45,-85.85
451,Norrtälje,19.99,92,0,4.61,59.758,18.705
452,Carauari,80.31,91,80,0.83,-4.8828,-66.8958
453,Dongkan,33.26,85,100,7.81,33.9997,119.8308
454,Porto-Novo,84.2,84,40,12.66,6.4965,2.6036
455,Tuatapere,64.15,62,100,6.67,-46.1333,167.6833
456,Oranzherei,19.4,63,0,8.95,45.8476,47.5663
457,Puerto Escondido,86.0,70,40,6.91,15.85,-97.0667
458,Bergen,23.0,62,0,2.3,60.392,5.328
459,Raja,60.21,32,99,3.27,8.4596,25.678
460,Jalu,66.4,26,98,15.3,29.0331,21.5482
461,Talnakh,-19.95,75,19,2.59,69.4865,88.3972
462,Ntcheu,66.22,95,100,1.7,-14.8203,34.6359
463,Laas,39.2,100,90,4.61,46.6166,10.7002
464,Walvis Bay,64.99,77,1,11.5,-22.9575,14.5053
465,Merauke,80.06,86,97,11.07,-8.4667,140.3333
466,Etchoropo,75.99,55,0,5.01,26.7667,-109.6667
467,Gizo Government Station,83.43,77,69,8.81,-8.103,156.8419
468,Wonthaggi,61.0,72,100,11.12,-38.6044,145.5913
469,Fremont,69.01,55,1,8.05,37.5483,-121.9886
470,Bayir,60.8,63,75,19.57,37.2687,28.2167
471,Pauini,80.85,93,99,1.41,-7.7136,-66.9764
472,Cap Malheureux,75.99,86,66,1.01,-19.9842,57.6142
473,Vanavara,28.83,98,100,10.04,60.34,102.2797
474,Kabin Buri,73.04,78,0,1.63,13.9511,101.7177
475,Juneau,28.99,73,75,3.44,58.3019,-134.4197
476,Elliot,61.38,95,99,3.89,-31.3333,27.85
477,Arys,46.4,93,40,8.95,42.4252,68.795
478,Ajdabiya,68.16,27,100,20.15,30.7554,20.2263
479,Pacific Grove,63.0,77,20,8.05,36.6177,-121.9166
480,Tura,56.68,48,0,2.98,25.5198,90.2201
481,Chiang Kham,70.0,99,80,1.61,19.5233,100.3
482,Tombouctou,64.4,26,69,9.48,20.0,-3.0
483,Ciudad Bolivar,87.21,49,100,13.67,8.1222,-63.5497
484,Ransang,78.55,83,100,9.78,8.9603,117.5828
485,Deep River,21.2,49,90,12.66,46.1001,-77.4995
486,Keetmanshoop,79.39,26,0,11.9,-26.5833,18.1333
487,Phuket,75.2,88,20,2.3,8.0,98.25
488,Bridlington,34.0,69,100,14.0,54.0831,-0.1919
489,Biggar,33.01,77,91,5.99,55.6167,-3.5167
490,Gweta,75.13,73,100,16.49,-20.1833,25.2333
491,Penzance,37.4,65,90,21.85,50.1186,-5.5371
492,Westport,32.0,86,90,6.91,41.1415,-73.3579
493,Kasongo,69.13,95,98,2.01,-4.45,26.6667
494,Lyuban',5.0,92,98,7.31,52.7985,28.0048
495,Paidha,65.89,32,88,5.1,2.4167,30.9855
496,Wajir,78.93,65,69,21.18,1.7471,40.0573
497,Olavarría,74.21,49,37,19.91,-36.8927,-60.3225
498,Dolisie,73.35,95,100,4.14,-4.1997,12.6739
499,Vestmanna,35.6,60,40,13.8,62.1564,-7.1664
500,Pak Phanang,78.67,79,75,6.67,8.3511,100.202
501,Thunder Bay,-2.2,42,20,17.27,48.4001,-89.3168
502,Galich,-19.55,86,69,6.42,58.3797,42.3475
503,Grindavik,32.0,69,0,13.8,63.8424,-22.4338
504,Jacqueville,82.4,94,20,9.22,5.2052,-4.4146
505,Deputatsky,-26.48,85,44,2.26,69.3,139.9
506,Waipawa,70.0,73,75,19.57,-41.4122,175.5153
507,Kayerkan,-20.88,80,43,6.85,69.3497,87.7602
508,Erzin,55.4,82,40,9.22,36.9559,36.2
509,Lampazos de Naranjo,77.45,26,53,11.77,27.0167,-100.5167
510,Houston,64.99,55,1,13.8,29.7633,-95.3633
511,Richards Bay,75.27,91,90,4.45,-28.783,32.0377
512,Sur,64.18,72,0,4.34,22.5667,59.5289
513,Mareeba,82.0,89,100,3.44,-17.0,145.4333
514,San Fernando del Valle de Catamarca,89.01,53,13,7.0,-28.4696,-65.7852
515,Atar,60.89,33,0,9.53,20.5169,-13.0499
516,Carlos Chagas,75.31,84,100,3.06,-17.7031,-40.7664
517,Dongsheng,20.93,74,62,2.82,39.8161,109.9776
518,Pontianak,73.4,100,75,2.3,-0.0333,109.3333
519,Nivala,9.18,96,68,4.18,63.9167,24.9667
520,Comodoro Rivadavia,64.4,55,20,23.02,-45.8667,-67.5
521,Berbera,74.86,71,1,6.26,10.4396,45.0143
522,Moree,73.4,68,0,10.36,-29.4667,149.85
523,Ormara,68.2,44,0,10.22,25.2088,64.6357
524,Sechura,82.29,56,21,15.64,-5.5569,-80.8222
525,Torres,72.28,74,20,6.26,-29.3353,-49.7269
526,Loudi,50.0,87,100,6.04,27.7344,111.9944
527,Kaniama,67.44,94,100,2.17,-7.5667,24.1833
528,Mount Gambier,55.4,76,90,9.22,-37.8333,140.7667
529,Husavik,30.2,86,90,6.98,66.0449,-17.3389
530,Muros,53.01,90,100,1.01,42.7762,-9.0603
531,Sarkand,32.9,85,100,4.72,45.41,79.9186
532,Bimbo,84.2,58,20,2.82,4.2567,18.4158
533,Kroya,76.68,87,100,3.38,-7.6331,109.2461
534,Zwedru,76.23,91,80,5.35,6.0667,-8.1281
535,Ürümqi,12.2,85,100,2.24,43.801,87.6005
536,Dolzhanskaya,26.49,87,100,9.04,46.6311,37.8039
537,Zhangaözen,29.73,85,19,13.4,43.3,52.8
538,Gigmoto,78.84,82,82,16.71,13.7796,124.39
539,Bowen,78.8,94,40,7.16,-20.0167,148.2333
540,Hearst,-5.8,59,100,10.36,49.6835,-83.6665
541,Tiznit Province,51.48,86,98,4.45,29.5833,-9.5
542,Tommot,-26.07,79,0,1.77,58.9564,126.2925
543,Seydi,54.1,68,100,6.46,39.4816,62.9137
544,Kharp,-3.08,90,100,13.6,66.8014,65.8081
545,Opuwo,71.94,31,80,6.51,-18.0607,13.84
546,Gachalá,68.0,52,40,10.36,4.6924,-73.5204
547,Kahului,77.0,57,20,9.22,20.8947,-156.47
548,Itoman,62.6,72,20,6.91,26.1247,127.6694
549,Hīt,57.09,61,0,5.17,33.6416,42.8251
550,Makakilo City,78.8,41,20,8.05,21.3469,-158.0858
551,North Bend,50.0,66,90,11.5,43.4065,-124.2243
552,Labuhan,78.49,85,100,11.39,-6.8844,112.2051
553,São Sebastião,74.08,68,99,2.24,-23.76,-45.4097
554,Itarema,80.47,78,0,13.62,-2.9248,-39.9167
555,Kaneohe,78.8,50,40,5.75,21.4181,-157.8036
556,Mokshan,-5.22,91,100,13.11,53.4365,44.6132
557,Brae,32.0,89,93,1.36,60.3964,-1.353
558,Pitimbu,80.6,83,20,8.05,-7.4706,-34.8086
559,Port Hedland,75.2,88,75,6.91,-20.3167,118.5667
560,Egvekinot,-12.3,85,0,14.38,66.3167,-179.1667
561,Port Shepstone,72.7,85,38,6.11,-30.7414,30.455
562,Nong Han,71.01,63,0,5.5,17.3608,103.1053
563,Kyzyl-Suu,36.09,77,100,2.89,42.3414,78.0056
564,Datong,18.84,72,0,2.26,40.0936,113.2914
565,Fairbanks,-7.01,76,1,2.21,64.8378,-147.7164
566,Udachny,-24.57,84,99,5.93,66.4167,112.4
567,Vila,48.0,96,100,21.0,42.0304,-8.1588
568,Bonavista,30.99,68,0,12.66,48.6499,-53.1147
569,El Alto,76.57,69,8,15.75,-4.2714,-81.2147
570,Ponérihouen,81.14,71,70,0.4,-21.0833,165.4
571,Laguna,66.0,42,1,4.36,38.421,-121.4238
572,San Policarpo,80.2,84,100,19.33,12.1791,125.5072
573,Ixtapa,75.2,69,1,13.8,20.7,-105.2
574,San Vicente,74.95,49,0,4.99,-26.6167,-54.1333
575,Mint Hill,52.0,50,1,5.75,35.1796,-80.6473
576,Sandwick,33.87,83,100,5.03,60.0,-1.25
577,Wad Rāwah,67.68,28,0,13.73,15.1603,33.1397
578,Mezen',-19.14,88,89,6.49,65.8522,44.24
579,Thinadhoo,81.72,71,33,9.01,0.5333,72.9333
580,High Level,-16.6,63,20,1.9,58.5169,-117.136
581,Vágur,37.67,77,98,19.15,61.4732,-6.8119
582,Necochea,60.01,74,100,17.11,-38.5473,-58.7368
583,Vanimo,78.31,83,100,4.59,-2.6741,141.3028
